,ID,Platform,Name,Description,Keywords,Licenses,Repository URL,Versions Count,Dependent Projects Count,Status,Dependent Repositories Count,Repository ID,Repository Host Type,Repository Name with Owner,Repository Description,Repository Fork?,Repository Stars Count,Repository License,Repository Status,Repository Keywords,Binding Host,Homepage URL,Homepage Domain,Binding Host Normalized,Binding Host Normalized - No Space,Host Repo IDs,is official,Type
136717,2417372,Maven,ai.h2o:h2o-scala_2.11,H2O Scala API (Scala version 2.11.7),,Apache-2.0,https://github.com/h2oai/h2o-dev,83,2,,3,527263,GitHub,h2oai/h2o-3,"Open Source Fast Scalable Machine Learning Platform For Smarter Applications: Deep Learning, Gradient Boosting & XGBoost, Random Forest, Generalized Linear Modeling (Logistic Regression, Elastic Net), K-Means, PCA, Stacked Ensembles, Automatic Machine Learning (AutoML), etc.",False,4513.0,Apache-2.0,,"automatic,big-data,data-science,deep-learning,distributed,ensemble-learning,gbm,gpu,h2o,hadoop,java,machine-learning,multi-threading,naive-bayes,opensource,pca,python,r,random-forest,spark",H2O,https://github.com/h2oai/h2o-3,github,h2o,h2o,['14294801'],community,Binding
136742,2417586,npm,react-lingo,Lingo i18n for React,,ISC,https://github.com/beamworks/react-lingo,4,0,,0,28023192,GitHub,beamworks/react-lingo,Component-friendly i18n: optimized for developer workflow,False,0.0,,,,Lingo,https://github.com/beamworks/react-lingo,github,lingo,lingo,['23500692'],community,Binding
136962,2419841,npm,ntpclient,A TypeScript implementation of the NTP Client Protocol,,MIT,https://github.com/ffflorian/ntpclient,16,3,,4,39273037,GitHub,ffflorian/ntpclient,TypeScript implementation of the NTP Client Protocol,False,1.0,MIT,,,NTP,https://github.com/ffflorian/ntpclient,github,ntp,ntp,['32528693'],community,Binding
137367,2424006,PyPI,pixiedust-optimus,Productivity library for Spark Python Notebook,,Apache-2.0,https://github.com/FavioVazquez/pixiedust-optimus,27,0,,1,28298024,GitHub,FavioVazquez/pixiedust-optimus,Python Helper library for Jupyter Notebooks,True,0.0,Apache-2.0,,,Spark,https://github.com/FavioVazquez/pixiedust-optimus,github,spark,spark,"['11846538', '27909023', '38722051']",community,Binding
137376,2424129,PyPI,alluxio,Alluxio python client,,,https://github.com/TachyonNexus/alluxio-py,2,0,,0,,,,,,,,,,Alluxio,https://github.com/TachyonNexus/alluxio-py,github,alluxio,alluxio,['168500'],community,Binding
137379,2424188,PyPI,pixioptimus,Productivity library for Spark Python Notebook,,Apache-2.0,https://github.com/FavioVazquez/pixiedust-optimus,1,0,,0,28298024,GitHub,FavioVazquez/pixiedust-optimus,Python Helper library for Jupyter Notebooks,True,0.0,Apache-2.0,,,Spark,https://github.com/FavioVazquez/pixiedust-optimus,github,spark,spark,"['11846538', '27909023', '38722051']",community,Binding
137609,2426614,npm,xgboost,XGBoost in Node.js ,"xgboost,machine learning,classifier,gbm,algorithm,ensemble,kaggle,kaggle competition,python,dmlc",Apache-2.0,https://github.com/nuanio/xgboost-node,2,0,,0,28406340,GitHub,nuanio/xgboost-node,Run XGBoost model and make predictions in Node.js,False,21.0,Other,,"algorithm,boosting-algorithms,gbdt,javascript,machine-learning,nodejs,xgboost",XGBoost,https://github.com/nuanio/xgboost-node,github,xgboost,xgboost,['339654'],community,Binding
137780,2427735,npm,node-db-file-logger,easy logging module wrapper over winston used to save logs to database and files,,MIT,https://github.com/light-bringer/node-db-file-logger,4,0,,0,28471991,GitHub,light-bringer/node-db-file-logger,A logger module that can be used to log to Database as well as file,False,0.0,,,"database-logs,file-logs,javascript,logging,module,nodejs",winston,https://github.com/light-bringer/node-db-file-logger.git,github,winston,winston,['72007'],community,Binding
137836,2428278,Packagist,yansongda/translate,translate SDK,"sdk,translate,baidu,youdao,翻译",MIT,https://github.com/yansongda/translate,4,0,,0,28499008,GitHub,yansongda/translate,translate SDK,False,0.0,MIT,,,translate,,,translate,translate,['35774700'],community,Binding
137997,2429732,npm,apollo-cache-core-inmemory,Core abstract of Caching layer for Apollo Client,,MIT,https://github.com/apollographql/apollo-client,1,2,,0,5415939,GitHub,apollographql/apollo-client,":rocket: A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server",False,12934.0,MIT,,"apollo-client,apollographql,graphql,graphql-client,typescript",Apollo,https://github.com/apollographql/apollo-client,github,apollo,apollo,['15362424'],community,Binding
138196,2436517,npm,temenos-plugin-inappbrowser, 			EdgeConnect inappbrowser plugin for iOS. 	,"phonegap,iOS,phone,inappbrowser,ecosystem:cordova,cordova-ios",Other,,2,0,,0,,,,,,,,,,	EdgeConnect,,,edgeconnect,edgeconnect,['37753306'],community,Binding
138391,2438531,PyPI,cortex4py,Python API client for Cortex.,,AGPL-3.0,https://github.com/Thehive-Project/Cortex4py,3,0,,0,28716971,GitHub,TheHive-Project/Cortex4py,Python API Client for Cortex,False,8.0,AGPL-3.0,,"api,api-client,cortex,dfir,free-software,incident-response,open-source,python",Cortex,https://github.com/Thehive-Project/Cortex4py,github,cortex,cortex,"['14427917', '38011472']",community,Binding
138402,2438700,CRAN,fastrtext,'fastText' Wrapper for Text Classification and Word Representation,,MIT,https://github.com/pommedeterresautee/fastrtext,11,1,,1,27865496,GitHub,pommedeterresautee/fastrtext,R wrapper for fastText,False,88.0,Other,,"classification,embeddings,fasttext,machine-learning,neural-network,nlp,rstats,text-classification,word-embeddings",fastText,https://github.com/pommedeterresautee/fastrtext,github,fasttext,fasttext,['38193711'],community,Binding
138570,2440529,npm,lychii-slack,lychii chatbot slack adapter,,Apache-2.0,,4,1,,1,,,,,,,,,,chatbot,,,chatbot,chatbot,"['3977012', '15262198', '19073790', '25241511', '31772349']",community,Binding
138786,2442791,NuGet,SamGillamBYU.PackageName,Package to expose DLL,"Tag2,Tag1",,,1,0,,0,,,,,,,,,,DLL,http://project_url_here_or_delete_this_line/,project_url_here_or_delete_this_line,dll,dll,['5766550'],community,Binding
138902,2444006,npm,@bolt/objects-wrapper,Wrapper Object in Bolt,"bolt design system,bolt,css framework,design system,objects",MIT,https://github.com/bolt-design-system/bolt,42,2,,0,25215702,GitHub,boltdesignsystem/bolt,"The Bolt Design System provides robust Twig and Web Component-powered UI components, reusable visual styles, and powerful tooling to help developers, designers, and content authors build, maintain, and scale best of class digital experiences.",False,128.0,MIT,,"atomic-design,bem,custom-elements,decoupling,design-system,drupal,drupal-8,itcss,lerna,lit-html,monorepo,pattern-lab,pattern-library,preact,skatejs,twig,web-components,webpack",Bolt,https://boltdesignsystem.com,boltdesignsystem,bolt,bolt,"['19562400', '40784040']",community,Binding
139022,2451410,CocoaPods,SwiftCamScanner,"A document scanner that uses OpenCV, in Swift",,MIT,https://github.com/Srinija/SwiftCamScanner,3,0,,1,25075531,GitHub,Srinija/SwiftCamScanner,A pod written in swift that lets you scan and crop documents. It uses edge detection and perspective transformation with OpenCV.,False,14.0,MIT,,"camscanner,cocoapods,documentscanner,swift",OpenCV,https://github.com/Srinija/SwiftCamScanner,github,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
139347,2453932,CocoaPods,TensorFlow-experimental,TensorFlow for iOS,,Other,,2,0,,227,3109714,GitHub,tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone,False,140006.0,Apache-2.0,,"deep-learning,deep-neural-networks,distributed,machine-learning,ml,neural-network,python,tensorflow",TensorFlow,https://github.com/tensorflow/tensorflow/blob/master/LICENSE,github,tensorflow,tensorflow,"['3109714', '27253426', '39323364']",same_repo,Binding
139364,2454098,CocoaPods,AMRAdapterDFP,DFP/Admob mediation adapter for AMR SDK.,,Other,https://github.com/admost/AMR-IOS-ADAPTER-DFP,21,0,,0,29125755,GitHub,admost/AMR-IOS-ADAPTER-DFP,,False,0.0,,,,AMR,http://www.admost.com/,admost,amr,amr,['14308902'],community,Binding
139459,2454800,CocoaPods,Insert-Avner-Test,Insert Framework SDK.,,Other,,1,0,,0,,,,,,,,,,Framework,http://insert.io/,insert,framework,framework,['847782'],community,Binding
139497,2455117,CocoaPods,LegoCV,"Simple, lightweight native OpenCV wrapper for Objective-C and Swift.",,BSD-3-Clause,https://github.com/legoless/legocv,1,0,,0,20064308,GitHub,Legoless/LegoCV,Native OpenCV Swift Framework,False,23.0,Other,,"framework,opencv,swift",OpenCV,https://github.com/legoless/legocv,github,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
139530,2455344,CocoaPods,AMRAdapterTappx,Tappx adapter for AMR SDK.,,Other,https://github.com/admost/AMR-IOS-ADAPTER-TAPPX,7,0,,0,27796061,GitHub,admost/AMR-IOS-ADAPTER-TAPPX,,False,0.0,,,,AMR,http://www.admost.com/,admost,amr,amr,['14308902'],community,Binding
139550,2455527,CocoaPods,SwiftEyes,An easy way to access OpenCV library from Swift.,,BSD-3-Clause,https://github.com/oaleeapp/SwiftEyes,3,0,,0,20230416,GitHub,oaleeapp/SwiftEyes,An easy way to access OpenCV library from Swift.,False,22.0,Other,,"ios-swift,opencv,swift",OpenCV,https://github.com/oaleeapp/SwiftEyes,github,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
139615,2456057,CocoaPods,OpenCV2,OpenCV (Computer Vision) for iOS.,,BSD-3-Clause,,16,0,,3,,,,,,,,,,OpenCV,http://opencv.org,opencv,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
139651,2456334,CocoaPods,AMRAdapterIronsource,Ironsource adapter for AMR SDK.,,Other,https://github.com/admost/AMR-IOS-ADAPTER-IRONSOURCE,26,0,,0,23556045,GitHub,admost/AMR-IOS-ADAPTER-IRONSOURCE,,False,0.0,,,,AMR,http://www.admost.com/,admost,amr,amr,['14308902'],community,Binding
139712,2456848,CocoaPods,Mozi,"Mozi(墨子) - Image compression extension for iOS, swift version of Luban(鲁班)",,MIT,https://github.com/iCell/Mozi,1,0,,0,26915930,GitHub,iCell/Mozi,"Mozi(墨子) - Image compression extension for iOS, swift version of Luban(鲁班)",False,35.0,MIT,,"image-compression,ios,luban,swift",Mozi,https://github.com/iCell/Mozi,github,mozi,mozi,['3396840'],community,Binding
139810,2457524,CocoaPods,MOE,Native binding for MOE,,MIT,https://github.com/tthufo/MOE,4,0,,0,22097788,GitHub,tthufo/MOE,native binding for MOE,False,0.0,MIT,,,MOE,https://github.com/tthufo/MOE,github,moe,moe,['20156196'],community,Binding
139841,2457778,CocoaPods,OpenCV2-contrib,OpenCV (Computer Vision) for iOS with extra modules.,,BSD-3-Clause,,2,0,,0,,,,,,,,,,OpenCV,http://opencv.org,opencv,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
139847,2457820,CocoaPods,Insert-DEBUG,Insert Framework SDK.,,Other,,1,0,,0,,,,,,,,,,Framework,http://insert.io/,insert,framework,framework,['847782'],community,Binding
139914,2458312,CocoaPods,AMRAdapterMobusi,Mobusi adapter for AMR SDK.,,Other,https://github.com/admost/AMR-IOS-ADAPTER-MOBUSI,3,0,,0,21854997,GitHub,admost/AMR-IOS-ADAPTER-MOBUSI,,False,0.0,,,,AMR,http://www.admost.com/,admost,amr,amr,['14308902'],community,Binding
139940,2458596,CocoaPods,ReXArch,ReX for iOS,,MIT,https://github.com/ReXSwift/ReX,1,0,,0,16781830,GitHub,ReXSwift/ReX,"Use Flux on iOS, Inspired by the vuex.",False,32.0,MIT,,,ReX,https://github.com/ReXSwift/ReX,github,rex,rex,['7503552'],community,Binding
139988,2458932,CocoaPods,OpenCV-iOS-Serasa,OpenCV (Computer Vision) for iOS.,,BSD-3-Clause,,2,0,,0,,,,,,,,,,OpenCV,http://opencv.org,opencv,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
140016,2459156,CocoaPods,BoltProtocol,Bolt protocol implementation in Swift,,BSD-3-Clause,https://github.com/Neo4j-Swift/bolt-swift,12,0,,4,32402451,GitHub,Neo4j-Swift/Bolt-swift,Bolt implementation in Swift,True,1.0,BSD-3-Clause,,,Bolt,https://github.com/Neo4j-Swift/Bolt-swift,github,bolt,bolt,"['19562400', '40784040']",community,Binding
140307,2463805,npm,@fermuch/mantra-core,Core API for Mantra,,MIT,https://github.com/mantrajs/mantra-core,3,0,,0,4741658,GitHub,mantrajs/mantra-core,Collection of Core APIs used in Mantra,False,67.0,MIT,,,Mantra,https://github.com/mantrajs/mantra-core,github,mantra,mantra,['37266822'],community,Binding
140346,2464365,npm,@neoprospecta/angular-neoapi,Angular NeoAPI,"Angular,Angular 2,Angular service,service",MIT,https://bitbucket.org/neoprospecta/angular-neoapi,7,0,,0,,,,,,,,,,Neo,https://bitbucket.org/neoprospecta/angular-neoapi,bitbucket,neo,neo,"['26503605', '37152171']",community,Binding
141049,2466873,npm,@iml/realtime,Realtime communications layer between IML GUI and API,,MIT,https://github.com/intel-hpdd/realtime,2,0,,1,24681104,GitHub,whamcloud/realtime,WebSocket Proxy over RESTful API ,False,0.0,MIT,,,IML,https://github.com/intel-hpdd/realtime,github,iml,iml,"['13622204', '32730110']",community,Binding
141089,2467197,npm,@deltasource/gulp-loopback-sdk-angular-ds,Delta Source gulp plugin for auto-generating Angular $resource services for LoopBack,"gulpplugin,angular,loopback",MIT,https://github.com/deltasource/gulp-loopback-sdk-angular,2,0,,0,29130391,GitHub,deltasource/gulp-loopback-sdk-angular,gulp plugin for auto-generating Angular $resource services for LoopBack,True,0.0,,,,Delta,https://github.com/deltasource/gulp-loopback-sdk-angular,github,delta,delta,"['38810725', '39651144']",community,Binding
141104,2467414,npm,@abskmj/torfeat-lime,Node.js client for Lime torrent indexing site,,MIT,https://github.com/abskmj/torfeat-lime,1,0,,0,27378407,GitHub,abskmj/torfeat-lime,,False,0.0,MIT,,,Lime,https://github.com/abskmj/torfeat-lime,github,lime,lime,['7026541'],community,Binding
141105,2467418,npm,@rguikers/rbwalletprovider,API Wallet provider,,ISC,https://github.com/rguikers/RBWalletProvider,3,0,,0,26606975,GitHub,rguikers/RBWalletProvider,Wallet provider for use with signing and account APIs,False,0.0,,,,Wallet,https://github.com/rguikers/RBWalletProvider,github,wallet,wallet,['30825975'],community,Binding
141119,2467478,npm,@datafire/apitore_sentimentapis,DataFire integration for Sentiment APIs,,MIT,https://github.com/DataFire/integrations,4,0,,0,,,,,,,,,,Sentiment,https://github.com/DataFire/integrations,github,sentiment,sentiment,['2573497'],community,Binding
141120,2467479,npm,@datafire/apitore_sentencepieceapis_wikipedia_,DataFire integration for SentencePiece APIs (wikipedia),,MIT,https://github.com/DataFire/integrations,4,0,,0,,,,,,,,,,SentencePiece,https://github.com/DataFire/integrations,github,sentencepiece,sentencepiece,['21575780'],community,Binding
141133,2467493,npm,@datafire/apitore_word2vecapis,DataFire integration for Word2Vec APIs,,MIT,https://github.com/DataFire/integrations,4,0,,0,,,,,,,,,,Word2Vec,https://github.com/DataFire/integrations,github,word2vec,word2vec,['10876949'],community,Binding
141234,2468878,npm,@jonathanusername/flow-bin,Binary wrapper for Flow - A static type checker for JavaScript,"cli-app,cli,bin,binary,flow,facebook,type,inference,check,checker,javascript,js,wrapper",BSD-3-Clause,https://github.com/jonathanusername/flow-bin,8,0,,0,29130894,GitHub,JonathanUsername/flow-bin,Binary wrapper for Flow - A static type checker for JavaScript,True,0.0,,,,Flow,https://github.com/jonathanusername/flow-bin,github,flow,flow,"['12755978', '29309986']",community,Binding
141284,2469663,npm,@ku3mich/log,winston wrapper for logging,"winston,log,wrapper",MIT,https://github.com/ku3mich/log,1,0,,0,29131166,GitHub,ku3mich/log,,False,0.0,MIT,,,winston,https://github.com/ku3mich/log,github,winston,winston,['72007'],community,Binding
141556,2471713,npm,@keystone/api,Access the Keystone API,,Unlicense,https://bitbucket.org/keystoneui/api,16,1,,0,,,,,,,,,,Keystone,https://bitbucket.org/keystoneui/api,bitbucket,keystone,keystone,['663727'],community,Binding
141841,2474365,npm,react-native-ntp-client,React Native compatible implementation of the NTP Client Protocol,"react-native,date,ntp",MIT,https://github.com/artem-russkikh/react-native-ntp-client,4,1,,1,29133645,GitHub,artem-russkikh/react-native-ntp-client,React Native compatible implementation of the NTP Client Protocol (https://github.com/moonpyk/node-ntp-client fork),True,3.0,MIT,,"ntp,ntp-client,ntp-library,ntp-protocol,ntpdate,react-native,udp",NTP,https://github.com/artem-russkikh/react-native-ntp-client,github,ntp,ntp,['32528693'],community,Binding
142142,2478156,npm,node-express-logging,A wrapper around Winston for logging within Express/NodeJS applications,"node,express,winston,logging,middleware",MIT,https://github.com/GWShark0/node-express-logging,1,0,,0,28388116,GitHub,GWShark0/node-express-logging,A wrapper around Winston for logging within Express/NodeJS applications ,False,0.0,MIT,,"logging,middleware,nodejs,winston",Winston,https://github.com/GWShark0/node-express-logging,github,winston,winston,['72007'],community,Binding
142515,2482320,CRAN,nneo,'NEON' 'API' Client,,MIT,https://github.com/ropenscilabs/nneo,1,0,,2,14935399,GitHub,ropensci/nneo,NEON API Client - ABANDONED,False,12.0,Other,Unmaintained,"ecology,r,r-package,rstats",NEON,https://github.com/ropenscilabs/nneo,github,neon,neon,['845216'],community,Binding
142903,2485750,Packagist,sosi/rex,The Rex PHP Framework - Make PHP Great Again,,MIT,https://github.com/soysaltan/RexPHP,0,0,,0,,,,,,,,,,Rex,,,rex,rex,['7503552'],community,Binding
143064,2487176,PyPI,translate-api,A free & easy Translate API for Python with Google & NetEase.,"translate,translate_api,fanyi,Google,Youdao,api,google translate,youdao translate,translate api,translate,NetEase,google fanyi,youdao fanyi,google_translate,youdao_translate",MIT,https://github.com/shinalone/translate_api,17,0,,0,29150814,GitHub,UlionTse/translators,"Free & Easy translators for Python, such as Google, Alibaba, Tencent, NetEase(Youdao), etc.",False,28.0,Other,,"fanyi,google-translate,language,translate,translator,translators,youdao-fanyi",Translate,https://github.com/shinalone/translate_api,github,translate,translate,['35774700'],community,Binding
143346,2489992,npm,vespa,Vespa client for JavaScript,,ISC,,1,0,,0,,,,,,,,,,Vespa,,,vespa,vespa,['27116833'],community,Binding
143622,2492671,Cargo,dlpack,Rust language binding for DLPack.,,Apache-2.0,https://github.com/PENGUINLIONG/dlpack.rs,5,0,,0,29408543,GitHub,PENGUINLIONG/dlpack.rs,Rust language binding for DLPack.,False,1.0,Apache-2.0,,,DLPack,,,dlpack,dlpack,['20950163'],community,Binding
143641,2492856,npm,node-red-contrib-opencv,Node-RED node for OpenCV,"node-red,opencv,image recognition,computer vision",Apache-2.0,https://github.com/zuhito/node-red-contrib-opencv,9,0,,1,29416740,GitHub,zuhito/node-red-contrib-opencv,Node-RED node for OpenCV,False,1.0,Apache-2.0,,,OpenCV,https://github.com/zuhito/node-red-contrib-opencv,github,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
143695,2493434,PyPI,pandavro,The interface between Avro and pandas DataFrame,,MIT,https://github.com/ynqa/pandavro,9,0,,1,31324070,GitHub,ynqa/pandavro,Apache Avro <-> pandas DataFrame,False,35.0,MIT,,"apache-avro,pandas,python",DataFrame,https://github.com/ynqa/pandavro,github,dataframe,dataframe,['30035724'],community,Binding
143700,2493488,Rubygems,keystone_engine,Ruby binding for Keystone &lt;Keystone-engine.org&gt;,,GPL-2.0,,1,0,,0,,,,,,,,,,Keystone,https://keystone-engine.org,keystone-engine,keystone,keystone,['663727'],community,Binding
143701,2493494,Rubygems,keystone-engine,Ruby binding for Keystone &lt;Keystone-engine.org&gt;,,GPL-2.0,https://github.com/sashs/ruby-keystone,1,1,,1,,,,,,,,,,Keystone,https://keystone-engine.org,keystone-engine,keystone,keystone,['663727'],community,Binding
143818,2494848,npm,c-wrapper-nodejs-addon,This is start app setup to start writing c/c++ wrapper as node js add-on to use in nodejs. Aim of this project is to include all dependencies needed to use to write wrapper so that a user can just install it using traditional `npm start` command. And then,"C,wrapper,c++,wrapper,c,addon,c++,addon,nodejs,addon",ISC,https://github.com/muhammad-shahzad-anjum/C-WrapperNodeJSAddon,3,0,,0,29507234,GitHub,muhammad-shahzad-anjum/C-WrapperNodeJSAddon,This package is to make easy sample to setup initial project to start writing C/C++ code wrapper as add-on to use in node JS. It will make easy to install all dependencies just with  `npm start`. First ndejs npm module or package that have all necessary npm dependencies and instructions to start a native c/c++ wrapper as addon to use in nodejs module.,False,0.0,MIT,,,c/c++,https://github.com/muhammad-shahzad-anjum/C-WrapperNodeJSAddon,github,c c,cc,['36529672'],community,Binding
143823,2494899,Maven,org.tensorflow:proto,Java API for TensorFlow protocol buffers.,,,,28,8,,115,,,,,,,,,,TensorFlow,,,tensorflow,tensorflow,"['3109714', '27253426', '39323364']",community,Binding
143857,2495177,npm,nodescore,Wrapper for Football API,,MIT,,10,0,,0,,,,,,,,,,Football,,,football,football,"['35900555', '38986496']",community,Binding
144065,2497394,Hackage,xgboost-haskell,"XGBoost library for Haskell via FFI binding, on top of foundation.","development,library,mit,program,Propose Tags ,ML.DMLC.XGBoost,ML.DMLC.XGBoost.Exception,ML.DMLC.XGBoost.FFI,ML.DMLC.XGBoost.Rabit.FFI,foundation",MIT,https://github.com/sighingnow/xgboost-haskell,1,0,,0,29431447,GitHub,sighingnow/xgboost-haskell,XGBoost for Haskell via FFI.,False,3.0,MIT,,"ffi-bindings,haskell,machine-learning,xgboost",XGBoost,https://github.com/sighingnow/xgboost-haskell#readme,github,xgboost,xgboost,['339654'],community,Binding
144217,2498857,npm,ps_promise,A wrapper around the [Paperspace-Node](https://github.com/Paperspace/paperspace-node) library using promises,,ISC,https://github.com/ArtBears/ps_promise,4,0,,0,29674261,GitHub,ArtBears/ps_promise,A wrapper around the Paperspace node library using promises,False,1.0,,,,Paperspace-Node,https://github.com/ArtBears/ps_promise,github,paperspace node,paperspacenode,['25513523'],community,Binding
144352,2500099,npm,cordova-plugin-image-detection,The ImageDetectionPlugin for Cordova enables the use of OpenCV SDK to detect an inputed image.,"cordova,imagen,detection,ios,android,install,ecosystem:cordova,cordova-android,cordova-ios",MIT,https://github.com/diegorquera/cordova-plugin-image-detection,4,0,,0,29745214,GitHub,diegorquera/cordova-plugin-image-detection,,False,3.0,MIT,,,OpenCV,https://github.com/diegorquera/cordova-plugin-image-detection,github,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
144383,2500327,PyPI,pillowtalk,Intuitive API wrapper framework using marshmallow,serialization marshmallow deserialization orm api-wrapper api,MIT,https://github.com/jvrana/pillowtalk,3,0,,0,29753026,GitHub,jvrana/Pillowtalk,Creates intuitive python wrapper for APIs. Grabs only the data when you need it in ways that make sense.,False,0.0,MIT,,"api-wrapper,deserialization,intuitive-calls,marshmallow,orm,python-interface,python-models,serialization",marshmallow,https://github.com/jvrana/pillowtalk,github,marshmallow,marshmallow,['30144092'],community,Binding
144459,2501357,npm,mantra-core-extra,Core API for Mantra. Originally by mantrajs.,,MIT,https://github.com/tmpg/mantra-core-extra,3,0,,0,29758780,GitHub,tmpg/mantra-core-extra,Collection of Core APIs used in Mantra,True,0.0,,,,Mantra,https://github.com/tmpg/mantra-core-extra,github,mantra,mantra,['37266822'],community,Binding
144515,2501907,npm,@natlibfi/sru-client,SRU client for Node.js and browser,"sru,library,libraries,marc,code4lib",LGPL-3.0+,https://github.com/natlibfi/sru-client,9,2,,7,3540255,GitHub,NatLibFi/sru-client,SRU (Search/Retrieval via URL) Javascript client library and command-line interface,False,4.0,LGPL-3.0,,,SRU,https://github.com/natlibfi/sru-client,github,sru,sru,['39504088'],community,Binding
144519,2501959,npm,@betit/orion-node-sdk,SDK for orion,"microservices,cross-language,sdk,orion,client,node,framework",MIT,https://github.com/betit/orion-node-sdk,59,0,,0,29521650,GitHub,GiG/orion-node-sdk,Node.js sdk for Orion,False,1.0,MIT,,,orion,https://github.com/betit/orion-node-sdk,github,orion,orion,['37981235'],community,Binding
144536,2502082,npm,@datafire/apitore_sentencepieceapis_tweet_,DataFire integration for SentencePiece APIs (tweet),,MIT,https://github.com/DataFire/integrations,1,0,,0,16149832,GitHub,DataFire/Integrations,Integration registry for DataFire,False,80.0,MIT,,,SentencePiece,https://github.com/DataFire/integrations,github,sentencepiece,sentencepiece,['21575780'],community,Binding
144787,2503298,npm,crfsuite,NodeJS binding for CRFsuite,"crf,crfsuite,data-science",MIT,https://github.com/vunb/node-crfsuite,6,4,,3,29775316,GitHub,vunb/node-crfsuite,A nodejs binding for crfsuite,False,8.0,MIT,,"crf,crfsuite,data-science,node-crfsuite,vntk",CRFsuite,https://github.com/vunb/node-crfsuite,github,crfsuite,crfsuite,['3599698'],community,Binding
144980,2505554,CocoaPods,PULPulsateChatBeta,Pulsate SDK Chat Bot,,Other,https://github.com/PulsateHQ/pulsate-ios-sdk,3,0,,0,2329272,GitHub,PulsateHQ/pulsate-ios-sdk,,False,2.0,Other,,,Chat Bot,http://pulsatehq.com/,pulsatehq,chat bot,chatbot,"['3977012', '15262198', '19073790', '25241511', '31772349']",community,Binding
145088,2506578,npm,winstonflight,A winston wrapper to enable adding transports by config,util,MIT,https://github.com/kitmi/winstonflight,5,2,,1,29808327,GitHub,kitmi/winstonflight,A winston wrapper to enable adding transports by config,False,1.0,,,"config,logger,nodejs,winston",winston,https://github.com/kitmi/winstonflight,github,winston,winston,['72007'],community,Binding
145095,2506657,Cargo,tf-rs,High level (Pythonic) API for the TensorFlow framework.,"api,tensorflow","Apache-2.0,MIT",https://github.com/iduartgomez/tf-rs,2,0,,0,28553317,GitHub,iduartgomez/tf-rs,High level Rust API for TensorFlow.,False,18.0,,,,TensorFlow,https://github.com/iduartgomez/tf-rs,github,tensorflow,tensorflow,"['3109714', '27253426', '39323364']",community,Binding
145162,2507246,PyPI,onnx-tf,Tensorflow backend for ONNX (Open Neural Network Exchange).,,Apache-2.0,https://github.com/onnx/onnx-tensorflow,10,0,,11,30380711,GitHub,onnx/onnx-tensorflow,Tensorflow Backend for ONNX,False,486.0,Apache-2.0,,"deep-learning,deep-neural-networks,onnx,tensorflow",ONNX,https://github.com/onnx/onnx-tensorflow/,github,onnx,onnx,['28306986'],same_repo_owner,Binding
145398,2509786,PyPI,tensorrec,A TensorFlow recommendation algorithm and framework in Python.,"machine-learning,tensorflow,recommendation-system,python,recommender-system",Apache-2.0,https://github.com/jfkirk/tensorrec,30,0,,1,25737110,GitHub,jfkirk/tensorrec,A TensorFlow recommendation algorithm and framework in Python.,False,801.0,Apache-2.0,,"framework,machine-learning,python,recommendation-algorithm,recommendation-system,recommender-system,tensorflow",TensorFlow,https://github.com/jfkirk/tensorrec,github,tensorflow,tensorflow,"['3109714', '27253426', '39323364']",community,Binding
145417,2509943,NuGet,EMGU.CV,"Emgu CV is a cross platform .Net wrapper to the OpenCV image processing library. Allowing OpenCV functions to be called from .NET compatible languages such as C#, VB, VC++, IronPython etc.","image,emgucv,opencv,emgu,ai",,,9,11,,77,,,,,,,,,,OpenCV,http://www.emgu.com/wiki/index.php,emgu,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
145419,2509965,PyPI,fastTextpy,fastText Python bindings,,BSD-3-Clause,https://github.com/facebookresearch/fastText,1,0,,0,12295220,GitHub,facebookresearch/fastText,Library for fast text representation and classification.,False,20327.0,MIT,,,fastText,https://github.com/facebookresearch/fastText,github,fasttext,fasttext,['38193711'],community,Binding
145431,2510116,npm,cloud-vision-connector,A module to communicate with the Telemetry API server,,MIT,,1,0,,0,,,,,,,,,,Telemetry,,,telemetry,telemetry,['26585611'],community,Binding
145783,2513890,PyPI,tcs-sdk,Tensorflow as service  Python Sdk,tensorflow sdk,MIT,,6,0,,0,,,,,,,,,,Tensorflow,https://github.com/yowenter,github,tensorflow,tensorflow,"['3109714', '27253426', '39323364']",community,Binding
145843,2514913,Rubygems,xgboost,Ruby binding for XGBoost,,MIT,https://github.com/paironair/xgboost-ruby,3,0,,0,30096717,GitHub,PairOnAir/xgboost-ruby,,False,3.0,MIT,,,XGBoost,https://github.com/paironair/xgboost-ruby,github,xgboost,xgboost,['339654'],community,Binding
